Source,Subsystem,Count,Sender IPs,Log Levels,Search Matches
repository,Performance.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionHandler,1006,192.168.100.109; 192.168.100.110,DEBUG,22b106a8-e7ed-4466-b700-014f060bef16
repository,Performance.Repository.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
repository,Performance.Repository.Repository.Core.Monitoring.PerformanceLogger,2,192.168.100.109,INFO,
repository,QixPerformance.Engine.Engine,131,192.168.100.109,INFO,
repository,Security.Repository.Qlik.Sense.Common.Security.Cryptography.CryptoKey,21,192.168.100.109; 192.168.100.110,DEBUG; INFO,
repository,Security.Repository.Qlik.Sense.Common.Security.Cryptography.LoggingDigester,2,192.168.100.109; 192.168.100.110,INFO,
repository,Security.Repository.Qlik.Sense.Common.Security.Cryptography.SecretsKey,3,192.168.100.109; 192.168.100.110,INFO,
repository,Security.Repository.Qlik.Sense.Communication.Security.CertSetup,2,192.168.100.109; 192.168.100.110,INFO,
repository,Security.Repository.Qlik.Sense.Communication.Security.CommandLineExecutor,80,192.168.100.109; 192.168.100.110,DEBUG,
repository,Security.Repository.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
repository,Security.Repository.Repository.Core.Certificates.DiskCertificateStore,4,192.168.100.109; 192.168.100.110,INFO,
repository,Service.Engine.Engine,2,192.168.100.109,INFO,
repository,Service.Repository.Qlik.Sense.Common.Monitoring.HardwareInfo,12,192.168.100.109; 192.168.100.110,INFO,
repository,Service.Repository.Repository.Core.Core,1,192.168.100.109,INFO,
repository,Service.Repository.Repository.Core.Services.ApiService,4,192.168.100.109; 192.168.100.110,INFO,
repository,Service.Repository.Repository.Core.Services.SSLPingService,4,192.168.100.109; 192.168.100.110,INFO,
repository,Service.Repository.Repository.Core.Services.StatusService,4,192.168.100.109; 192.168.100.110,INFO,
repository,Service.Repository.Repository.Core.Status.EngineHealthCheckWorker,1,192.168.100.109,WARN,
repository,Service.Repository.Repository.Core.Status.ServiceStatusWorker,12,192.168.100.109,WARN,
repository,Service.Repository.Repository.QRSMain,3,192.168.100.109; 192.168.100.110,INFO,
repository,Service.Repository.Repository.Users.Factories.UserDirectoryConnectorFactory,12,192.168.100.109,INFO,
repository,Session.Engine.Engine,58,192.168.100.109,INFO,
repository,Synchronization.Repository.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
repository,Synchronization.Repository.Repository.Core.Logging.LogCollector,2,192.168.100.109; 192.168.100.110,INFO,
repository,Synchronization.Repository.Repository.Core.Repository.Notification.ChangeMonitor,467,192.168.100.109; 192.168.100.110,DEBUG; INFO,
repository,System.Engine.Engine,682,192.168.100.109,DEBUG; INFO,
repository,System.Repository.Qlik.RulesEngine.Cache.CustomPropertyDefinitionCache,2,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Qlik.RulesEngine.Cache.RuleCache,2,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Qlik.Sense.Common.Communication.AsyncWebClient,17,192.168.100.109; 192.168.100.110,DEBUG,22b106a8-e7ed-4466-b700-014f060bef16
repository,System.Repository.Qlik.Sense.Common.Communication.REST.Server.RESTEngine,486,192.168.100.109; 192.168.100.110,DEBUG,22b106a8-e7ed-4466-b700-014f060bef16
repository,System.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionHandler,36,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionQueueHandler,506,192.168.100.109; 192.168.100.110,DEBUG; WARN,22b106a8-e7ed-4466-b700-014f060bef16
repository,System.Repository.Qlik.Sense.Common.Configuration.AppSettingsUtil,16,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Qlik.Sense.Common.ThreadWrapper,1,192.168.100.109,ERROR,
repository,System.Repository.Qlik.Sense.Communication.Communication.Engine.EngineConnectivity,4,192.168.100.109,DEBUG,
repository,System.Repository.Qlik.Sense.Communication.Communication.Engine.EngineConnectivity+EngineConnectivitySession,1,192.168.100.109,DEBUG,
repository,System.Repository.Qlik.Sense.Communication.Communication.WebSocketProtocol.WebSocketSession,98,192.168.100.109,DEBUG,
repository,System.Repository.Qlik.Sense.Communication.LocalHostInfoPersistence,18,192.168.100.109; 192.168.100.110,DEBUG,
repository,System.Repository.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
repository,System.Repository.Qlik.Sense.Net.Dns.DnsWrapper,6,192.168.100.109; 192.168.100.110,DEBUG,
repository,System.Repository.Repository.Core.BackgroundWork.BackgroundWorkInitiator,39,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Repository.Core.BackgroundWork.BackgroundWorkManager,93,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Repository.Core.BackgroundWork.BackgroundWorkScheduler,348,192.168.100.109; 192.168.100.110,DEBUG; ERROR; INFO; WARN,
repository,System.Repository.Repository.Core.Bootstrap.BootstrapHandler,18,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Repository.Core.Cluster.ServiceClusterSetup,2,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Repository.Core.Core,81,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Repository.Core.Database.DatabaseConnectionFactory,2,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Repository.Core.Database.DeletedEntityLogFilter,2,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Repository.Core.DataCollection.DataCollectionSetup,4,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Repository.Core.Engine.Logging.LogPipeServer,16,192.168.100.109; 192.168.100.110,INFO,
repository,System.Repository.Repository.Core.Installer.InstallerConfigurationHandler,1,192.168.100.109,INFO,
repository,System.Repository.Repository.Core.Licensing.LicenseServer.LicenseServerFacade,12,192.168.100.109; 192.168.100.110,DEBUG,
repository,System.Repository.Repository.Core.Logging.LogEntityManagerWorker,64,192.168.100.109; 192.168.100.110,DEBUG,
repository,System.Repository.Repository.Core.Maintenance.ExecutionResults.ExecutionResultMaintenance,7,192.168.100.109,DEBUG,22b106a8-e7ed-4466-b700-014f060bef16
repository,System.Repository.Repository.Core.ProxySettings.ProxyServiceSettingsInstallerFile,2,192.168.100.109; 192.168.100.110,DEBUG; WARN,
repository,System.Repository.Repository.Core.ProxySettings.ProxyServiceSettingsUpdate,1,192.168.100.110,DEBUG,
repository,System.Repository.Repository.Core.Repository.Notification.ChangeNotifier,344,192.168.100.109; 192.168.100.110,DEBUG,
repository,System.Repository.Repository.Core.Repository.Notification.MqChangeNotificationManager,2,192.168.100.109; 192.168.100.110,INFO,
